system2rank,segmentId,system1Id,system2Number,system1Number,trglang,system1rank,srcIndex,judgeID,srclang,system2Id,documentId
3,62,AMU,-1,-1,-1,4,62,annot2,-1,RAC,-1
1,62,AMU,-1,-1,-1,4,62,annot2,-1,UFC,-1
1,62,AMU,-1,-1,-1,4,62,annot2,-1,NTHU,-1
1,62,RAC,-1,-1,-1,3,62,annot2,-1,UFC,-1
1,62,RAC,-1,-1,-1,3,62,annot2,-1,NTHU,-1
1,62,UFC,-1,-1,-1,1,62,annot2,-1,NTHU,-1
2,1155,RAC,-1,-1,-1,2,1155,annot2,-1,AMU,-1
4,1155,RAC,-1,-1,-1,2,1155,annot2,-1,SJTU,-1
1,1155,RAC,-1,-1,-1,2,1155,annot2,-1,PKU,-1
4,1155,AMU,-1,-1,-1,2,1155,annot2,-1,SJTU,-1
1,1155,AMU,-1,-1,-1,2,1155,annot2,-1,PKU,-1
1,1155,SJTU,-1,-1,-1,4,1155,annot2,-1,PKU,-1
1,1262,UFC,-1,-1,-1,1,1262,annot2,-1,UMC,-1
3,1262,UFC,-1,-1,-1,1,1262,annot2,-1,IPN,-1
4,1262,UFC,-1,-1,-1,1,1262,annot2,-1,NTHU,-1
3,1262,UMC,-1,-1,-1,1,1262,annot2,-1,IPN,-1
4,1262,UMC,-1,-1,-1,1,1262,annot2,-1,NTHU,-1
4,1262,IPN,-1,-1,-1,3,1262,annot2,-1,NTHU,-1
1,1287,UMC,-1,-1,-1,1,1287,annot2,-1,NTHU,-1
1,1287,UMC,-1,-1,-1,1,1287,annot2,-1,IITB,-1
1,1287,UMC,-1,-1,-1,1,1287,annot2,-1,UFC,-1
1,1287,NTHU,-1,-1,-1,1,1287,annot2,-1,IITB,-1
1,1287,NTHU,-1,-1,-1,1,1287,annot2,-1,UFC,-1
1,1287,IITB,-1,-1,-1,1,1287,annot2,-1,UFC,-1
1,13,RAC,-1,-1,-1,1,13,annot2,-1,POST,-1
1,13,RAC,-1,-1,-1,1,13,annot2,-1,CAMB,-1
1,13,RAC,-1,-1,-1,1,13,annot2,-1,PKU,-1
